,Date,Title,Url
0,2020-01-01 02:37:49,[유럽증시] 올해 마지막 거래일 소폭 약세로 마무리,https://finance.naver.com/news/news_read.nhn?article_id=0011308308&office_id=001&mode=mainnews&type=&date=2020-01-01&page=1
0,2020-01-02 17:34:39,"[Asia마감]中, 5년 만에 가장 화끈했던 첫날",https://finance.naver.com/news/news_read.nhn?article_id=0004334116&office_id=008&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 17:26:56,[유럽개장]상승세 출발…英 0.68%↑,https://finance.naver.com/news/news_read.nhn?article_id=0004599164&office_id=277&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 17:19:35,[채권마감]1월 금통위 전까지 관망,https://finance.naver.com/news/news_read.nhn?article_id=0004334106&office_id=008&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 16:13:13,"[시황종합] 첫날 코스피 2170선 후퇴…""기관 차익실현""",https://finance.naver.com/news/news_read.nhn?article_id=0004389206&office_id=421&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 16:39:14,[마감시황]경자년 첫 코스피…기관 차익실현에 1%대 하락(종합),https://finance.naver.com/news/news_read.nhn?article_id=0009636395&office_id=003&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 16:18:46,[마감시황]경자년 첫 개장 코스피…1%대 하락,https://finance.naver.com/news/news_read.nhn?article_id=0009636353&office_id=003&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 16:10:06,[마켓뷰] 차익실현 매물에 새해 첫날 2170선 후퇴,https://finance.naver.com/news/news_read.nhn?article_id=0000462318&office_id=366&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 16:10:03,"[외환마감]새해 첫 거래일, 외국인 주식 매도에 원·달러 환율 상승",https://finance.naver.com/news/news_read.nhn?article_id=0004547834&office_id=018&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 15:53:02,[코스닥 마감]개인 1800억 순매수…첫 거래일 670선까지 올라,https://finance.naver.com/news/news_read.nhn?article_id=0004547815&office_id=018&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 11:50:14,나란히 52주 신고가 갈아치운 삼성전기·LG이노텍,https://finance.naver.com/news/news_read.nhn?article_id=0004333771&office_id=008&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 11:31:49,[Asia오전]가파른 상승세로 새해 첫 거래 시작한 中,https://finance.naver.com/news/news_read.nhn?article_id=0004333754&office_id=008&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 10:25:03,"[오전시황]코스피·코스닥 동반 하락세...코스피 2,200선 내줘",https://finance.naver.com/news/news_read.nhn?article_id=0003674494&office_id=011&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 08:57:01,[외환브리핑]미중 무역합의 서명 임박…원화에도 '훈풍',https://finance.naver.com/news/news_read.nhn?article_id=0004547316&office_id=018&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 08:26:34,"[개장전] 2020년 개시, 대내외 여건은 우호적",https://finance.naver.com/news/news_read.nhn?article_id=0004333456&office_id=008&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 08:19:01,[김현석의 월스트리트나우]달러의 쇠락을 경고하는 금 가격,https://finance.naver.com/news/news_read.nhn?article_id=0004266747&office_id=015&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 07:25:55,[굿모닝 증시]“주도주 상승탄력 둔화될 것… 낙폭 과대주 관심 가져야”,https://finance.naver.com/news/news_read.nhn?article_id=0004598483&office_id=277&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 07:04:01,"[김현석의 월스트리트나우] 폴 로머 ""금리 급등하면 금융시스템 위험""",https://finance.naver.com/news/news_read.nhn?article_id=0004266725&office_id=015&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-02 06:53:01,"[모닝브리핑] 문 대통령, 추미애 법무장관 오늘 임명…진중권-유시민, 토론회서 공방",https://finance.naver.com/news/news_read.nhn?article_id=0004266724&office_id=015&mode=mainnews&type=&date=2020-01-02&page=1
0,2020-01-03 17:35:07,[외환마감]중동리스크에 급등한 원·달러 환율…9원 상승마감,https://finance.naver.com/news/news_read.nhn?article_id=0004548603&office_id=018&mode=mainnews&type=&date=2020-01-03&page=1
0,2020-01-03 17:29:41,[Asia마감]美-이란 악재… 中증시 하락 반전,https://finance.naver.com/news/news_read.nhn?article_id=0004334634&office_id=008&mode=mainnews&type=&date=2020-01-03&page=1
0,2020-01-03 17:26:21,[유럽개장] 美·이란 갈등에 하락세…유로스톡스 0.67%↓,https://finance.naver.com/news/news_read.nhn?article_id=0004599820&office_id=277&mode=mainnews&type=&date=2020-01-03&page=1
0,2020-01-03 17:20:31,[채권마감]중동 갈등에 장단기물 일제 강세,https://finance.naver.com/news/news_read.nhn?article_id=0004334626&office_id=008&mode=mainnews&type=&date=2020-01-03&page=1
0,2020-01-03 16:30:00,"[마감시황]美, 이란 공습에 반등세 꺾인 코스피…2176선 마감(종합)",https://finance.naver.com/news/news_read.nhn?article_id=0009638007&office_id=003&mode=mainnews&type=&date=2020-01-03&page=1
0,2020-01-03 16:21:06,[마켓뷰] 美의 이란 공습에 상승폭 반납한 코스피,https://finance.naver.com/news/news_read.nhn?article_id=0000462700&office_id=366&mode=mainnews&type=&date=2020-01-03&page=1
