	Date	Title	Url
0	2019-01-01 10:12	"[월가시각]""새해에도 바닥다지기 지속…랠리 촉매제 필요"""	https://finance.naver.com/news/news_read.nhn?article_id=0004154072&office_id=008&mode=mainnews&type=&date=2019-01-01&page=1
0	2019-01-01 8:24	[데일리 국제금융시장] 마지막 날 웃었지만···	https://finance.naver.com/news/news_read.nhn?article_id=0003476631&office_id=011&mode=mainnews&type=&date=2019-01-01&page=1
0	2019-01-01 7:39	"[뉴욕마감]3대 지수, 2008년 이후 최악의 해...다우, 연간 5.6%↓"	https://finance.naver.com/news/news_read.nhn?article_id=0004154001&office_id=008&mode=mainnews&type=&date=2019-01-01&page=1
0	2019-01-01 3:23	"[유럽증시]파리 오르고, 런던 내리고..'혼조' 마감"	https://finance.naver.com/news/news_read.nhn?article_id=0004282938&office_id=018&mode=mainnews&type=&date=2019-01-01&page=1
0	2019-01-02 18:00	中 지표부진에 '발목'…2010선 간신히 방어	https://finance.naver.com/news/news_read.nhn?article_id=0004072015&office_id=015&mode=mainnews&type=&date=2019-01-02&page=1
0	2019-01-02 17:59	신흥국 증시 반등에 베팅하는 국내 투자자들	https://finance.naver.com/news/news_read.nhn?article_id=0004072011&office_id=015&mode=mainnews&type=&date=2019-01-02&page=1
0	2019-01-02 17:57	포스코켐텍·에코프로 등 2차전지 소재株 주목	https://finance.naver.com/news/news_read.nhn?article_id=0004072007&office_id=015&mode=mainnews&type=&date=2019-01-02&page=1
0	2019-01-02 17:53	철강株 한파…목표가 줄줄이 하향	https://finance.naver.com/news/news_read.nhn?article_id=0004071998&office_id=015&mode=mainnews&type=&date=2019-01-02&page=1
0	2019-01-02 17:58	"[채권마감]올해 첫 개장 채권시장, 혼조세 마감"	https://finance.naver.com/news/news_read.nhn?article_id=0004284290&office_id=018&mode=mainnews&type=&date=2019-01-02&page=1
0	2019-01-02 17:16	[마켓뷰] 中제조업 위축 우려에 韓증시 부진한 새해 첫날	https://finance.naver.com/news/news_read.nhn?article_id=0000423694&office_id=366&mode=mainnews&type=&date=2019-01-02&page=1
0	2019-01-02 17:12	[외환마감]中 부진 때문에…원·달러 환율 예상 밖 상승	https://finance.naver.com/news/news_read.nhn?article_id=0004284255&office_id=018&mode=mainnews&type=&date=2019-01-02&page=1
0	2019-01-02 16:21	"[Asia마감]""생각보다 경기 침체 빠르다"" 우르르 무너진 증시"	https://finance.naver.com/news/news_read.nhn?article_id=0004154836&office_id=008&mode=mainnews&type=&date=2019-01-02&page=1
0	2019-01-02 16:00	"""1월효과 기대 낮춰야""…2019년 초반장세 '안갯속' "	https://finance.naver.com/news/news_read.nhn?article_id=0004154815&office_id=008&mode=mainnews&type=&date=2019-01-02&page=1
0	2019-01-02 15:53	"첫 거래일 실망스런 코스피, 1.5% 밀리며 2010선 '후퇴' "	https://finance.naver.com/news/news_read.nhn?article_id=0004154810&office_id=008&mode=mainnews&type=&date=2019-01-02&page=1
